date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9921.03,0.421,5.96,2.61,7,4,10446.25,52.88,-52.88,0.0,52.88,1.0,9263.65,42.46,1.0,42.46,1.0,42.46,-42.46,0.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9934.57,0.4229,5.93,2.61,7,4,10653.46,54.61,-54.61,0.0,54.61,1.0,9447.4,43.91,1.0,43.91,1.0,43.91,-43.91,0.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,10068.05,0.417,5.9,2.62,6,5,10797.34,53.14,-53.14,0.0,53.14,1.0,9575.0,42.62,1.0,42.62,1.0,42.62,-42.62,0.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9911.39,0.4221,5.9,2.62,6,5,10567.44,53.83,-53.83,0.0,53.83,1.0,9371.12,43.3,1.0,43.3,1.0,43.3,-43.3,0.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9662.6,0.4101,5.92,2.62,6,5,10516.29,49.36,-49.36,0.0,49.36,1.0,9325.77,39.43,1.0,39.43,1.0,39.43,-39.43,0.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9374.61,0.3977,5.89,2.62,6,5,10530.64,45.15,-45.15,0.0,45.15,1.0,9338.5,35.82,1.0,35.82,1.0,35.82,-35.82,0.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,8866.8,0.4005,5.9,2.63,5,5,10735.13,47.0,-47.0,0.0,47.0,1.0,9519.83,37.35,0.8571,-262.65,0.8571,-615.68,615.68,0.1429
2000-04-11,10104.87,10068.05,10194.91,10059.41,8993.68,0.3897,5.92,2.63,6,5,10672.13,43.06,-43.06,0.0,43.06,1.0,9463.97,33.99,0.75,-266.01,0.75,-436.3,436.3,0.25
2000-04-12,10067.27,9911.39,10149.32,9909.03,9307.03,0.3881,5.89,2.63,6,5,10506.07,41.83,-41.83,0.0,41.83,1.0,9316.71,32.99,0.6667,-267.01,0.6667,23.31,-23.31,0.3333
2000-04-13,9720.67,9662.6,9746.99,9564.72,9104.4,0.4026,5.86,2.63,6,5,10242.36,45.52,-45.52,0.0,45.52,1.0,9082.84,36.24,0.6,-263.76,0.7,36.24,-36.24,0.3
2000-04-14,9517.45,9374.61,9662.12,9374.49,9109.05,0.4259,5.86,2.64,6,5,9937.09,51.92,-51.92,0.0,51.92,1.0,8812.13,41.87,0.6364,41.87,0.7273,41.87,-41.87,0.2727
