date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9109.05,0.421,5.96,2.61,20,15,9904.22,389.09,-389.09,0.0,389.09,1.0,9805.68,368.21,0.0,68.21,0.0,-328.42,328.42,1.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9120.48,0.4229,5.93,2.61,20,15,10100.68,398.58,-398.58,0.0,398.58,1.0,10000.18,377.46,0.0,77.46,0.0,-502.24,502.24,1.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,8808.09,0.417,5.9,2.62,19,15,10237.1,397.93,-397.93,0.0,397.93,1.0,10135.24,376.81,0.0,76.81,0.0,-950.34,950.34,1.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,8921.12,0.4221,5.9,2.62,19,15,10019.13,394.38,-394.38,0.0,394.38,1.0,9919.43,373.7,0.0,73.7,0.0,-624.61,624.61,1.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,8535.96,0.4101,5.92,2.62,19,15,9970.64,381.01,-381.01,0.0,381.01,1.0,9871.42,360.41,0.0,60.41,0.0,-975.05,975.05,1.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,8541.95,0.3977,5.89,2.62,19,15,9984.24,369.46,-369.46,0.0,369.46,1.0,9884.9,349.07,0.0,49.07,0.0,-993.88,993.88,1.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,8824.36,0.4005,5.9,2.63,18,15,10178.12,379.44,-379.44,0.0,379.44,1.0,10076.84,358.58,0.0,58.58,0.0,-893.9,893.9,1.0
2000-04-11,10104.87,10068.05,10194.91,10059.41,8777.35,0.3897,5.92,2.63,18,15,10118.39,366.69,-366.69,0.0,366.69,1.0,10017.71,345.97,0.0,45.97,0.0,-894.39,894.39,1.0
2000-04-12,10067.27,9911.39,10149.32,9909.03,8638.75,0.3881,5.89,2.63,20,15,9960.95,359.29,-359.29,0.0,359.29,1.0,9861.83,339.06,0.0,39.06,0.0,-884.02,884.02,1.0
2000-04-13,9720.67,9662.6,9746.99,9564.72,8420.0,0.4026,5.86,2.63,20,15,9710.91,363.84,-363.84,0.0,363.84,1.0,9614.29,344.17,0.0,44.17,0.0,-850.12,850.12,1.0
2000-04-14,9517.45,9374.61,9662.12,9374.49,8425.38,0.4259,5.86,2.64,20,15,9421.48,374.23,-374.23,0.0,374.23,1.0,9327.74,355.06,0.0,55.06,0.0,-547.3,547.3,1.0
2000-04-15,9086.36,8866.8,9086.36,8780.08,8698.53,0.5187,5.85,2.64,20,15,8911.13,433.81,-433.81,0.0,433.81,1.0,8822.47,415.19,0.0,115.19,0.0,291.25,-291.25,1.0
2000-04-17,8848.16,8993.68,9013.14,8796.77,8657.13,0.5092,5.85,2.64,19,15,9038.65,431.73,-431.73,0.0,431.73,1.0,8948.71,412.93,0.0,112.93,0.0,121.35,-121.35,1.0
2000-04-18,9220.96,9307.03,9389.35,9220.96,8616.18,0.5301,5.84,2.64,20,15,9353.57,465.6,-465.6,0.0,465.6,1.0,9260.49,446.1,0.0,146.1,0.0,-198.21,198.21,1.0
2000-04-19,9435.02,9104.4,9477.67,9104.4,8635.84,0.5287,5.84,2.65,20,15,9149.92,454.24,-454.24,0.0,454.24,1.0,9058.88,435.15,0.0,135.15,0.0,12.11,-12.11,1.0
2000-04-20,9084.86,9109.05,9175.75,8943.89,8559.87,0.5126,5.85,2.65,20,15,9154.6,440.24,-440.24,0.0,440.24,1.0,9063.5,421.21,0.0,121.21,0.0,-82.42,82.42,1.0
2000-04-21,9130.32,9120.48,9243.04,9105.31,8349.91,0.497,5.84,2.65,20,15,9166.08,426.98,-426.98,0.0,426.98,1.0,9074.88,408.07,0.0,108.07,0.0,-316.9,316.9,1.0
2000-04-24,9128.95,8808.09,9128.95,8808.09,8560.44,0.5204,5.81,2.66,18,15,8852.13,432.24,-432.24,0.0,432.24,1.0,8764.05,414.02,0.0,114.02,0.0,210.41,-210.41,1.0
2000-04-25,8711.68,8921.12,8923.27,8672.41,8465.02,0.5096,5.82,2.66,20,15,8965.73,428.46,-428.46,0.0,428.46,1.0,8876.51,410.06,0.0,110.06,0.0,-1.43,1.43,1.0
2000-04-26,8992.62,8535.96,9022.77,8465.76,8727.82,0.5531,5.86,2.66,20,15,8578.64,446.13,-296.95,0.05,296.95,0.95,8493.28,428.13,0.0,128.13,0.05,428.13,-428.13,0.95
2000-04-27,8587.03,8541.95,8633.39,8458.4,9085.74,0.5363,5.84,2.66,20,15,8584.66,432.44,68.64,0.0952,-68.64,0.9048,8499.24,414.6,0.0,114.6,0.0952,414.6,-414.6,0.9048
2000-04-28,8595.01,8824.36,8860.5,8478.48,9087.21,0.5513,5.86,2.66,20,15,8868.48,459.64,-240.91,0.1364,240.91,0.8636,8780.24,441.06,0.0,141.06,0.1364,441.06,-441.06,0.8636
2000-04-29,8835.17,8777.35,8906.67,8725.38,9119.77,0.5354,5.86,2.67,20,15,8821.24,443.6,-145.07,0.1739,145.07,0.8261,8733.46,425.2,0.0,125.2,0.1739,425.2,-425.2,0.8261
2000-05-02,8836.83,8638.75,8838.78,8636.27,8820.35,0.5267,5.86,2.67,18,15,8681.94,429.37,-290.96,0.2083,290.96,0.7917,8595.56,411.3,0.0,111.3,0.2083,411.3,-411.3,0.7917
2000-05-03,8537.35,8420.0,8587.0,8395.23,8807.57,0.5308,5.85,2.67,19,15,8462.1,421.73,-76.26,0.24,76.26,0.76,8377.9,404.18,0.0,104.18,0.24,404.18,-404.18,0.76
2000-05-04,8444.07,8425.38,8655.2,8338.92,8671.01,0.5146,5.86,2.68,19,15,8467.51,408.79,-205.29,0.2692,205.29,0.7308,8383.25,391.29,0.0,91.29,0.2692,391.29,-391.29,0.7308
2000-05-05,8389.9,8698.53,8699.02,8343.37,8500.41,0.5303,5.85,2.68,19,15,8742.02,435.32,-435.32,0.2593,435.32,0.7407,8655.04,417.2,0.0,117.2,0.2593,262.57,-262.57,0.7407
2000-05-06,8699.48,8657.13,8774.25,8620.58,8438.1,0.5149,5.86,2.68,19,15,8700.42,420.27,-420.27,0.25,420.27,0.75,8613.84,402.29,0.0,102.29,0.25,226.55,-226.55,0.75
2000-05-08,8669.47,8616.18,8742.69,8538.5,8559.46,0.4999,5.87,2.68,18,15,8659.26,405.77,-405.77,0.2414,405.77,0.7586,8573.1,387.91,0.0,87.91,0.2414,374.27,-374.27,0.7586
2000-05-09,8607.65,8635.84,8660.77,8566.64,8588.25,0.4848,5.88,2.68,20,15,8679.02,394.09,-394.09,0.2333,394.09,0.7667,8592.66,376.22,0.0,76.22,0.2333,371.81,-371.81,0.7667
2000-05-10,8693.87,8559.87,8749.62,8559.87,8764.42,0.4727,5.88,2.69,20,15,8602.67,380.51,-218.76,0.2581,218.76,0.7419,8517.07,362.9,0.0,62.9,0.2581,362.9,-362.9,0.7419
2000-05-11,8427.34,8349.91,8440.78,8281.68,8939.52,0.4792,5.87,2.69,20,15,8391.66,376.43,171.43,0.2812,-171.43,0.7188,8308.16,359.24,0.0312,359.24,0.2812,359.24,-359.24,0.7188
2000-05-12,8472.82,8560.44,8603.87,8454.72,8842.63,0.4853,5.88,2.69,20,15,8603.24,391.04,-151.65,0.303,151.65,0.697,8517.64,373.34,0.0303,73.34,0.303,373.34,-373.34,0.697
