date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9374.61,0.421,5.96,2.61,14,10,10249.15,179.24,-179.24,0.0,179.24,1.0,9460.75,159.19,0.0,-140.81,0.0,73.05,-73.05,1.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,8866.8,0.4229,5.93,2.61,14,10,10452.45,184.15,-184.15,0.0,184.15,1.0,9648.41,163.71,0.0,-136.29,0.0,-617.9,617.9,1.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,8993.68,0.417,5.9,2.62,12,10,10593.62,182.14,-182.14,0.0,182.14,1.0,9778.72,161.81,0.0,-138.19,0.0,-623.23,623.23,1.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9307.03,0.4221,5.9,2.62,12,10,10368.05,181.97,-181.97,0.0,181.97,1.0,9570.51,161.84,0.0,-138.16,0.0,-101.64,101.64,1.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9104.4,0.4101,5.92,2.62,12,10,10317.87,172.48,-172.48,0.0,172.48,1.0,9524.19,152.95,0.0,-147.05,0.0,-266.84,266.84,1.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9109.05,0.3977,5.89,2.62,12,10,10331.95,163.75,-163.75,0.0,163.75,1.0,9537.19,144.83,0.0,-155.17,0.0,-283.31,283.31,1.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,9120.48,0.4005,5.9,2.63,11,10,10532.58,169.01,-169.01,0.0,169.01,1.0,9722.38,149.57,0.0,-150.43,0.0,-452.33,452.33,1.0
2000-04-11,10104.87,10068.05,10194.91,10059.41,8808.09,0.3897,5.92,2.63,13,10,10470.77,160.21,-160.21,0.0,160.21,1.0,9665.33,141.36,0.0,-158.64,0.0,-715.88,715.88,1.0
2000-04-12,10067.27,9911.39,10149.32,9909.03,8921.12,0.3881,5.89,2.63,13,10,10307.85,156.49,-156.49,0.0,156.49,1.0,9514.93,138.08,0.0,-161.92,0.0,-455.73,455.73,1.0
2000-04-13,9720.67,9662.6,9746.99,9564.72,8535.96,0.4026,5.86,2.63,13,10,10049.1,162.64,-162.64,0.0,162.64,1.0,9276.1,144.1,0.0,-155.9,0.0,-596.04,596.04,1.0
2000-04-14,9517.45,9374.61,9662.12,9374.49,8541.95,0.4259,5.86,2.64,13,10,9749.59,173.69,-173.69,0.0,173.69,1.0,8999.63,154.74,0.0,-145.26,0.0,-302.94,302.94,1.0
2000-04-15,9086.36,8866.8,9086.36,8780.08,8824.36,0.5187,5.85,2.64,13,10,9221.47,225.5,-225.5,0.0,225.5,1.0,8512.13,204.07,0.0833,204.07,0.0833,204.07,-204.07,0.9167
2000-04-17,8848.16,8993.68,9013.14,8796.77,8777.35,0.5092,5.85,2.64,12,10,9353.43,222.29,-222.29,0.0,222.29,1.0,8633.93,200.93,0.0769,-99.07,0.1538,200.93,-200.93,0.8462
2000-04-18,9220.96,9307.03,9389.35,9220.96,8638.75,0.5301,5.84,2.64,14,10,9679.31,244.69,-244.69,0.0,244.69,1.0,8934.75,221.83,0.0714,-78.17,0.1429,-74.17,74.17,0.8571
2000-04-19,9435.02,9104.4,9477.67,9104.4,8420.0,0.5287,5.84,2.65,14,10,9468.58,238.41,-238.41,0.0,238.41,1.0,8740.22,216.08,0.0667,-83.92,0.1333,-104.14,104.14,0.8667
2000-04-20,9084.86,9109.05,9175.75,8943.89,8425.38,0.5126,5.85,2.65,14,10,9473.41,227.45,-227.45,0.0,227.45,1.0,8744.69,205.71,0.0625,-94.29,0.125,-113.6,113.6,0.875
2000-04-21,9130.32,9120.48,9243.04,9105.31,8698.53,0.497,5.84,2.65,14,10,9485.3,217.04,-217.04,0.0,217.04,1.0,8755.66,195.88,0.0588,-104.12,0.1176,138.75,-138.75,0.8824
2000-04-24,9128.95,8808.09,9128.95,8808.09,8657.13,0.5204,5.81,2.66,12,10,9160.41,225.05,-225.05,0.0,225.05,1.0,8455.77,203.85,0.0556,-96.15,0.1667,203.85,-203.85,0.8333
2000-04-25,8711.68,8921.12,8923.27,8672.41,8616.18,0.5096,5.82,2.66,13,10,9277.96,220.7,-220.7,0.0,220.7,1.0,8564.28,199.61,0.0526,-100.39,0.2105,199.61,-199.61,0.7895
2000-04-26,8992.62,8535.96,9022.77,8465.76,8635.84,0.5531,5.86,2.66,13,10,8877.4,239.36,-239.36,0.0,239.36,1.0,8194.52,217.61,0.1,217.61,0.25,217.61,-217.61,0.75
2000-04-27,8587.03,8541.95,8633.39,8458.4,8559.87,0.5363,5.84,2.66,13,10,8883.63,228.58,-228.58,0.0,228.58,1.0,8200.27,207.43,0.1429,207.43,0.2857,207.43,-207.43,0.7143
2000-04-28,8595.01,8824.36,8860.5,8478.48,8349.91,0.5513,5.86,2.66,13,10,9177.33,246.23,-246.23,0.0,246.23,1.0,8471.39,223.81,0.1364,-76.19,0.2727,102.33,-102.33,0.7273
2000-04-29,8835.17,8777.35,8906.67,8725.38,8560.44,0.5354,5.86,2.67,13,10,9128.44,234.28,-234.28,0.0,234.28,1.0,8426.26,212.54,0.1304,-87.46,0.3043,212.54,-212.54,0.6957
2000-05-02,8836.83,8638.75,8838.78,8636.27,8465.02,0.5267,5.86,2.67,13,10,8984.3,224.94,-224.94,0.0,224.94,1.0,8293.2,203.84,0.1667,203.84,0.3333,203.84,-203.84,0.6667
2000-05-03,8537.35,8420.0,8587.0,8395.23,8727.82,0.5308,5.85,2.67,13,10,8756.8,221.78,-221.78,0.0,221.78,1.0,8083.2,201.12,0.2,201.12,0.36,201.12,-201.12,0.64
2000-05-04,8444.07,8425.38,8655.2,8338.92,9085.74,0.5146,5.86,2.68,13,10,8762.4,211.64,111.7,0.0385,-111.7,0.9615,8088.36,191.51,0.2308,191.51,0.3846,191.51,-191.51,0.6154
2000-05-05,8389.9,8698.53,8699.02,8343.37,9087.21,0.5303,5.85,2.68,13,10,9046.47,228.83,-188.09,0.0741,188.09,0.9259,8350.59,207.51,0.2222,-92.49,0.4074,207.51,-207.51,0.5926
2000-05-06,8699.48,8657.13,8774.25,8620.58,9119.77,0.5149,5.86,2.68,13,10,9003.42,217.64,-101.29,0.1071,101.29,0.8929,8310.84,196.94,0.25,196.94,0.4286,196.94,-196.94,0.5714
2000-05-08,8669.47,8616.18,8742.69,8538.5,8820.35,0.4999,5.87,2.68,12,10,8960.83,206.9,-206.9,0.1034,206.9,0.8966,8271.53,186.82,0.2759,186.82,0.4483,186.82,-186.82,0.5517
2000-05-09,8607.65,8635.84,8660.77,8566.64,8807.57,0.4848,5.88,2.68,13,10,8981.27,197.64,-197.64,0.1,197.64,0.9,8290.41,178.03,0.3,178.03,0.4667,178.03,-178.03,0.5333
2000-05-10,8693.87,8559.87,8749.62,8559.87,8671.01,0.4727,5.88,2.69,13,10,8902.26,188.13,-188.13,0.0968,188.13,0.9032,8217.48,169.15,0.3226,169.15,0.4839,169.15,-169.15,0.5161
2000-05-11,8427.34,8349.91,8440.78,8281.68,8500.41,0.4792,5.87,2.69,13,10,8683.91,187.55,-187.55,0.0938,187.55,0.9062,8015.91,168.81,0.3438,168.81,0.5,168.81,-168.81,0.5
2000-05-12,8472.82,8560.44,8603.87,8454.72,8438.1,0.4853,5.88,2.69,13,10,8902.86,196.21,-196.21,0.0909,196.21,0.9091,8218.02,176.76,0.3636,176.76,0.5152,176.76,-176.76,0.4848
2000-05-15,8639.94,8465.02,8639.94,8461.27,8559.46,0.4748,5.95,2.69,11,10,8803.62,187.42,-187.42,0.0882,187.42,0.9118,8126.42,168.42,0.3824,168.42,0.5294,168.42,-168.42,0.4706
2000-05-16,8534.18,8727.82,8733.46,8496.44,8588.25,0.4915,5.95,2.7,13,10,9076.93,204.14,-204.14,0.0857,204.14,0.9143,8378.71,183.95,0.4,183.95,0.5429,183.95,-183.95,0.4571
2000-05-17,8885.24,9085.74,9131.86,8885.24,8764.42,0.5276,5.9,2.7,13,10,9449.17,237.17,-237.17,0.0833,237.17,0.9167,8722.31,214.92,0.3889,-85.08,0.5556,214.92,-214.92,0.4444
2000-05-18,9040.33,9087.21,9135.13,9002.03,8939.52,0.5115,5.92,2.7,13,10,9450.7,226.2,-226.2,0.0811,226.2,0.9189,8723.72,204.49,0.3784,-95.51,0.5676,204.49,-204.49,0.4324
2000-05-19,9034.41,9119.77,9146.59,9030.57,8842.63,0.4963,5.92,2.7,13,10,9484.56,216.6,-216.6,0.0789,216.6,0.9211,8754.98,195.39,0.3684,-104.61,0.5789,195.39,-195.39,0.4211
2000-05-20,9093.14,8820.35,9167.78,8700.19,8883.45,0.5167,5.92,2.7,13,10,9173.16,222.98,-222.98,0.0769,222.98,0.9231,8467.54,201.75,0.359,-98.25,0.5897,201.75,-201.75,0.4103
2000-05-22,8903.32,8807.57,8967.36,8800.37,8935.64,0.501,5.91,2.7,12,10,9159.87,212.25,-212.25,0.075,212.25,0.925,8455.27,191.63,0.35,-108.37,0.6,191.63,-191.63,0.4
2000-05-23,8811.44,8671.01,8820.73,8634.73,8958.21,0.4937,5.91,2.71,13,10,9017.85,204.17,-204.17,0.0732,204.17,0.9268,8324.17,184.15,0.3659,184.15,0.6098,184.15,-184.15,0.3902
2000-05-24,8496.06,8500.41,8623.12,8470.56,9115.47,0.4915,5.91,2.71,14,10,8840.43,198.81,76.23,0.0952,-76.23,0.9048,8160.39,179.25,0.381,179.25,0.619,179.25,-179.25,0.381
2000-05-25,8609.8,8438.1,8643.66,8418.5,9067.88,0.4784,5.92,2.71,14,10,8775.62,189.05,103.21,0.1163,-103.21,0.8837,8100.58,170.08,0.3953,170.08,0.6279,170.08,-170.08,0.3721
2000-05-26,8397.01,8559.46,8578.32,8386.37,9036.66,0.4707,5.92,2.71,14,10,8901.84,186.88,-52.06,0.1364,52.06,0.8636,8217.08,167.93,0.4091,167.93,0.6364,167.93,-167.93,0.3636
2000-05-29,8593.62,8588.25,8701.61,8571.35,8955.44,0.4568,5.91,2.72,14,10,8931.78,178.59,-154.93,0.1556,154.93,0.8444,8244.72,160.13,0.4222,160.13,0.6444,160.13,-160.13,0.3556
