date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9109.05,0.421,5.96,2.61,20,15,10298.42,234.5,-234.5,0.0,234.5,1.0,9411.48,205.06,0.0,-94.94,0.0,-97.37,97.37,1.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9120.48,0.4229,5.93,2.61,20,15,10502.7,240.83,-240.83,0.0,240.83,1.0,9598.16,210.82,0.0,-89.18,0.0,-266.86,266.86,1.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,8808.09,0.417,5.9,2.62,19,15,10644.55,238.46,-238.46,0.0,238.46,1.0,9727.79,208.58,0.0,-91.42,0.0,-711.12,711.12,1.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,8921.12,0.4221,5.9,2.62,19,15,10417.9,238.0,-238.0,0.0,238.0,1.0,9520.66,208.46,0.0,-91.54,0.0,-391.08,391.08,1.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,8535.96,0.4101,5.92,2.62,19,15,10367.48,226.1,-226.1,0.0,226.1,1.0,9474.58,197.38,0.0,-102.62,0.0,-741.24,741.24,1.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,8541.95,0.3977,5.89,2.62,19,15,10381.63,215.19,-215.19,0.0,215.19,1.0,9487.51,187.32,0.0,-112.68,0.0,-758.24,758.24,1.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,8824.36,0.4005,5.9,2.63,18,15,10583.22,221.97,-221.97,0.0,221.97,1.0,9671.74,193.34,0.0,-106.66,0.0,-654.04,654.04,1.0
2000-04-11,10104.87,10068.05,10194.91,10059.41,8777.35,0.3897,5.92,2.63,18,15,10521.11,210.9,-210.9,0.0,210.9,1.0,9614.99,183.09,0.0,-116.91,0.0,-654.55,654.55,1.0
2000-04-12,10067.27,9911.39,10149.32,9909.03,8638.75,0.3881,5.89,2.63,20,15,10357.4,206.07,-206.07,0.0,206.07,1.0,9465.38,178.9,0.0,-121.1,0.0,-647.73,647.73,1.0
2000-04-13,9720.67,9662.6,9746.99,9564.72,8420.0,0.4026,5.86,2.63,20,15,10097.42,213.5,-213.5,0.0,213.5,1.0,9227.78,186.21,0.0,-113.79,0.0,-621.57,621.57,1.0
2000-04-14,9517.45,9374.61,9662.12,9374.49,8425.38,0.4259,5.86,2.64,20,15,9796.47,227.0,-227.0,0.0,227.0,1.0,8952.75,199.22,0.0,-100.78,0.0,-328.15,328.15,1.0
