date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9374.61,0.421,5.96,2.61,14,10,10199.87,195.02,-195.02,0.0,195.02,1.0,9510.03,175.6,0.0,-124.4,0.0,40.18,-40.18,1.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,8866.8,0.4229,5.93,2.61,14,10,10402.2,200.27,-200.27,0.0,200.27,1.0,9698.66,180.49,0.0,-119.51,0.0,-651.37,651.37,1.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,8993.68,0.417,5.9,2.62,12,10,10542.69,198.38,-198.38,0.0,198.38,1.0,9829.65,178.68,0.0,-121.32,0.0,-657.29,657.29,1.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9307.03,0.4221,5.9,2.62,12,10,10318.2,197.94,-197.94,0.0,197.94,1.0,9620.36,178.47,0.0,-121.53,0.0,-134.86,134.86,1.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9104.4,0.4101,5.92,2.62,12,10,10268.27,188.18,-188.18,0.0,188.18,1.0,9573.79,169.23,0.0,-130.77,0.0,-300.16,300.16,1.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9109.05,0.3977,5.89,2.62,12,10,10282.28,179.26,-179.26,0.0,179.26,1.0,9586.86,160.84,0.0,-139.16,0.0,-316.97,316.97,1.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,9120.48,0.4005,5.9,2.63,11,10,10481.94,184.86,-184.86,0.0,184.86,1.0,9773.02,165.96,0.0,-134.04,0.0,-486.58,486.58,1.0
2000-04-11,10104.87,10068.05,10194.91,10059.41,8808.09,0.3897,5.92,2.63,13,10,10420.43,175.78,-175.78,0.0,175.78,1.0,9715.67,157.39,0.0,-142.61,0.0,-750.19,750.19,1.0
2000-04-12,10067.27,9911.39,10149.32,9909.03,8921.12,0.3881,5.89,2.63,13,10,10258.29,171.78,-171.78,0.0,171.78,1.0,9564.49,153.82,0.0,-146.18,0.0,-489.55,489.55,1.0
2000-04-13,9720.67,9662.6,9746.99,9564.72,8535.96,0.4026,5.86,2.63,13,10,10000.79,177.8,-177.8,0.0,177.8,1.0,9324.41,159.79,0.0,-140.21,0.0,-628.66,628.66,1.0
