duration,ratio,bc_win%,bc_earn,sc_win%,sc_earn,bp_win%,bp_earn,sp_SL_win%,sp_SL_earn,sp_final_win%,sp_final_earn
20,0.005,52.85,-46.97,47.15,46.97,39.24,-46.97,25.8,52.43,60.76,113.81
20,0.01,49.07,-51.9,50.93,51.9,35.66,-51.9,34.45,54.45,64.34,107.64
20,0.015,45.22,-56.44,54.78,56.44,32.51,-56.44,41.95,54.59,67.49,101.33
20,0.02,40.97,-60.26,59.03,60.26,29.64,-60.26,48.4,53.18,70.36,95.15
20,0.025,36.36,-63.3,63.64,63.3,26.65,-63.3,54.25,51.52,73.35,88.87
20,0.03,31.68,-65.32,68.32,65.32,23.53,-65.32,59.71,50.19,76.47,82.58
20,0.035,27.43,-66.36,72.57,66.36,20.97,-66.36,64.47,48.2,79.03,76.5
20,0.04,23.58,-66.5,76.42,66.5,18.48,-66.5,68.64,45.82,81.52,70.57
20,0.045,20.57,-65.93,79.43,65.93,16.48,-65.93,71.95,42.16,83.52,64.8
20,0.05,17.52,-64.82,82.48,64.82,14.7,-64.82,75.07,39.14,85.3,59.41
20,0.055,15.32,-63.21,84.68,63.21,12.89,-63.21,78.52,38.29,87.11,54.28
20,0.06,12.79,-61.13,87.21,61.13,11.26,-61.13,80.74,34.77,88.74,49.36
20,0.065,11.15,-58.75,88.85,58.75,10.3,-58.75,82.76,31.65,89.7,44.82
20,0.07,9.58,-56.26,90.42,56.26,9.19,-56.26,84.5,28.59,90.81,40.72
20,0.075,8.07,-53.59,91.93,53.59,8.34,-53.59,85.89,25.27,91.66,37.01
20,0.08,7.04,-50.76,92.96,50.76,7.63,-50.76,87.26,22.65,92.37,33.68
20,0.085,6.1,-48.0,93.9,48.0,6.86,-48.0,88.35,19.87,93.14,30.71
20,0.09,5.15,-45.25,94.85,45.25,6.08,-45.25,89.46,17.74,93.92,28.01
20,0.095,4.43,-42.55,95.57,42.55,5.49,-42.55,90.63,16.36,94.51,25.58
20,0.1,3.91,-39.94,96.09,39.94,5.05,-39.94,91.31,14.01,94.95,23.43
