date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9109.05,0.421,5.96,2.61,20,15,10052.05,324.37,-324.37,0.0,324.37,1.0,9657.85,299.87,0.0,-0.13,0.0,-248.93,248.93,1.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9120.48,0.4229,5.93,2.61,20,15,10251.44,332.57,-332.57,0.0,332.57,1.0,9849.42,307.71,0.0,7.71,0.0,-421.23,421.23,1.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,8808.09,0.417,5.9,2.62,19,15,10389.89,331.09,-331.09,0.0,331.09,1.0,9982.45,306.26,0.0,6.26,0.0,-868.1,868.1,1.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,8921.12,0.4221,5.9,2.62,19,15,10168.67,328.93,-328.93,0.0,328.93,1.0,9769.89,304.52,0.0,4.52,0.0,-544.25,544.25,1.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,8535.96,0.4101,5.92,2.62,19,15,10119.45,315.95,-315.95,0.0,315.95,1.0,9722.61,291.89,0.0,-8.11,0.0,-894.76,894.76,1.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,8541.95,0.3977,5.89,2.62,19,15,10133.26,304.43,-304.43,0.0,304.43,1.0,9735.88,280.81,0.0,-19.19,0.0,-913.12,913.12,1.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,8824.36,0.4005,5.9,2.63,18,15,10330.03,313.12,-313.12,0.0,313.12,1.0,9924.93,288.91,0.0,-11.09,0.0,-811.66,811.66,1.0
2000-04-11,10104.87,10068.05,10194.91,10059.41,8777.35,0.3897,5.92,2.63,18,15,10269.41,300.85,-300.85,0.0,300.85,1.0,9866.69,277.03,0.0,-22.97,0.0,-812.31,812.31,1.0
2000-04-12,10067.27,9911.39,10149.32,9909.03,8638.75,0.3881,5.89,2.63,20,15,10109.62,294.5,-294.5,0.0,294.5,1.0,9713.16,271.24,0.0,-28.76,0.0,-803.17,803.17,1.0
2000-04-13,9720.67,9662.6,9746.99,9564.72,8420.0,0.4026,5.86,2.63,20,15,9855.85,300.56,-300.56,0.0,300.56,1.0,9469.35,277.62,0.0,-22.38,0.0,-771.73,771.73,1.0
2000-04-14,9517.45,9374.61,9662.12,9374.49,8425.38,0.4259,5.86,2.64,20,15,9562.1,312.68,-312.68,0.0,312.68,1.0,9187.12,289.88,0.0,-10.12,0.0,-471.86,471.86,1.0
2000-04-15,9086.36,8866.8,9086.36,8780.08,8698.53,0.5187,5.85,2.64,20,15,9044.14,375.24,-375.24,0.0,375.24,1.0,8689.46,351.63,0.0,51.63,0.0833,351.63,-351.63,0.9167
2000-04-17,8848.16,8993.68,9013.14,8796.77,8657.13,0.5092,5.85,2.64,19,15,9173.55,372.35,-372.35,0.0,372.35,1.0,8813.81,348.64,0.0,48.64,0.0769,191.96,-191.96,0.9231
2000-04-18,9220.96,9307.03,9389.35,9220.96,8616.18,0.5301,5.84,2.64,20,15,9493.17,404.1,-404.1,0.0,404.1,1.0,9120.89,379.16,0.0,79.16,0.0714,-125.55,125.55,0.9286
2000-04-19,9435.02,9104.4,9477.67,9104.4,8635.84,0.5287,5.84,2.65,20,15,9286.49,394.09,-394.09,0.0,394.09,1.0,8922.31,369.7,0.0,69.7,0.0667,83.23,-83.23,0.9333
2000-04-20,9084.86,9109.05,9175.75,8943.89,8559.87,0.5126,5.85,2.65,20,15,9291.23,380.09,-380.09,0.0,380.09,1.0,8926.87,356.03,0.0,56.03,0.0625,-10.97,10.97,0.9375
2000-04-21,9130.32,9120.48,9243.04,9105.31,8349.91,0.497,5.84,2.65,20,15,9302.89,366.79,-366.79,0.0,366.79,1.0,8938.07,343.1,0.0,43.1,0.0588,-245.06,245.06,0.9412
2000-04-24,9128.95,8808.09,9128.95,8808.09,8560.44,0.5204,5.81,2.66,18,15,8984.25,374.06,-374.06,0.0,374.06,1.0,8631.93,350.84,0.0,50.84,0.0556,279.35,-279.35,0.9444
2000-04-25,8711.68,8921.12,8923.27,8672.41,8465.02,0.5096,5.82,2.66,20,15,9099.54,369.57,-369.57,0.0,369.57,1.0,8742.7,346.27,0.0,46.27,0.0526,68.59,-68.59,0.9474
2000-04-26,8992.62,8535.96,9022.77,8465.76,8727.82,0.5531,5.86,2.66,20,15,8706.68,389.7,-368.56,0.05,368.56,0.95,8365.24,366.36,0.0,66.36,0.1,366.36,-366.36,0.9
2000-04-27,8587.03,8541.95,8633.39,8458.4,9085.74,0.5363,5.84,2.66,20,15,8712.79,375.99,-3.04,0.0952,3.04,0.9048,8371.11,353.06,0.0,53.06,0.1429,353.06,-353.06,0.8571
2000-04-28,8595.01,8824.36,8860.5,8478.48,9087.21,0.5513,5.86,2.66,20,15,9000.85,401.31,-314.95,0.1364,314.95,0.8636,8647.87,377.23,0.0,77.23,0.1818,377.23,-377.23,0.8182
