date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9921.03,0.421,5.96,2.61,7,4,10643.35,28.42,-28.42,0.0,28.42,1.0,9066.55,19.77,1.0,19.77,1.0,19.77,-19.77,0.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9934.57,0.4229,5.93,2.61,7,4,10854.46,29.47,-29.47,0.0,29.47,1.0,9246.4,20.54,1.0,20.54,1.0,20.54,-20.54,0.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,10068.05,0.417,5.9,2.62,6,5,11001.06,28.32,-28.32,0.0,28.32,1.0,9371.28,19.63,1.0,19.63,1.0,19.63,-19.63,0.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9911.39,0.4221,5.9,2.62,6,5,10766.82,29.0,-29.0,0.0,29.0,1.0,9171.74,20.21,1.0,20.21,1.0,20.21,-20.21,0.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9662.6,0.4101,5.92,2.62,6,5,10714.71,25.9,-25.9,0.0,25.9,1.0,9127.35,17.83,1.0,17.83,1.0,17.83,-17.83,0.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9374.61,0.3977,5.89,2.62,6,5,10729.34,23.01,-23.01,0.0,23.01,1.0,9139.8,15.63,1.0,15.63,1.0,15.63,-15.63,0.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,8866.8,0.4005,5.9,2.63,5,5,10937.68,24.12,-24.12,0.0,24.12,1.0,9317.28,16.43,0.8571,-283.57,0.8571,-434.05,434.05,0.1429
2000-04-11,10104.87,10068.05,10194.91,10059.41,8993.68,0.3897,5.92,2.63,6,5,10873.49,21.5,-21.5,0.0,21.5,1.0,9262.61,14.46,0.75,-285.54,0.75,-254.47,254.47,0.25
2000-04-12,10067.27,9911.39,10149.32,9909.03,9307.03,0.3881,5.89,2.63,6,5,10704.3,20.8,-20.8,0.0,20.8,1.0,9118.48,13.97,0.6667,-286.03,0.7778,13.97,-13.97,0.2222
2000-04-13,9720.67,9662.6,9746.99,9564.72,9104.4,0.4026,5.86,2.63,6,5,10435.61,23.47,-23.47,0.0,23.47,1.0,8889.59,16.04,0.6,-283.96,0.8,16.04,-16.04,0.2
2000-04-14,9517.45,9374.61,9662.12,9374.49,9109.05,0.4259,5.86,2.64,6,5,10124.58,28.2,-28.2,0.0,28.2,1.0,8624.64,19.74,0.6364,19.74,0.8182,19.74,-19.74,0.1818
2000-04-15,9086.36,8866.8,9086.36,8780.08,9120.48,0.5187,5.85,2.64,6,5,9576.14,51.41,-51.41,0.0,51.41,1.0,8157.46,38.54,0.6667,38.54,0.8333,38.54,-38.54,0.1667
2000-04-17,8848.16,8993.68,9013.14,8796.77,8808.09,0.5092,5.85,2.64,7,5,9713.17,49.3,-49.3,0.0,49.3,1.0,8274.19,36.75,0.6923,36.75,0.8462,36.75,-36.75,0.1538
2000-04-18,9220.96,9307.03,9389.35,9220.96,8921.12,0.5301,5.84,2.64,7,5,10051.59,57.58,-57.58,0.0,57.58,1.0,8562.47,43.44,0.7143,43.44,0.8571,43.44,-43.44,0.1429
2000-04-19,9435.02,9104.4,9477.67,9104.4,8535.96,0.5287,5.84,2.65,7,5,9832.75,55.89,-55.89,0.0,55.89,1.0,8376.05,42.13,0.7333,42.13,0.8667,42.13,-42.13,0.1333
2000-04-20,9084.86,9109.05,9175.75,8943.89,8541.95,0.5126,5.85,2.65,7,5,9837.77,50.95,-50.95,0.0,50.95,1.0,8380.33,38.06,0.75,38.06,0.875,38.06,-38.06,0.125
2000-04-21,9130.32,9120.48,9243.04,9105.31,8824.36,0.497,5.84,2.65,7,5,9850.12,46.36,-46.36,0.0,46.36,1.0,8390.84,34.31,0.7647,34.31,0.8824,34.31,-34.31,0.1176
2000-04-24,9128.95,8808.09,9128.95,8808.09,8777.35,0.5204,5.81,2.66,5,5,9512.74,51.56,-51.56,0.0,51.56,1.0,8103.44,38.71,0.7778,38.71,0.8889,38.71,-38.71,0.1111
2000-04-25,8711.68,8921.12,8923.27,8672.41,8638.75,0.5096,5.82,2.66,7,5,9634.81,49.0,-49.0,0.0,49.0,1.0,8207.43,36.56,0.7895,36.56,0.8947,36.56,-36.56,0.1053
2000-04-26,8992.62,8535.96,9022.77,8465.76,8420.0,0.5531,5.86,2.66,7,5,9218.84,59.77,-59.77,0.0,59.77,1.0,7853.08,45.62,0.8,45.62,0.9,45.62,-45.62,0.1
2000-04-27,8587.03,8541.95,8633.39,8458.4,8425.38,0.5363,5.84,2.66,7,5,9225.31,54.7,-54.7,0.0,54.7,1.0,7858.59,41.41,0.8095,41.41,0.9048,41.41,-41.41,0.0952
2000-04-28,8595.01,8824.36,8860.5,8478.48,8698.53,0.5513,5.86,2.66,7,5,9530.31,61.21,-61.21,0.0,61.21,1.0,8118.41,46.68,0.8182,46.68,0.9091,46.68,-46.68,0.0909
2000-04-29,8835.17,8777.35,8906.67,8725.38,8657.13,0.5354,5.86,2.67,7,5,9479.54,55.92,-55.92,0.0,55.92,1.0,8075.16,42.31,0.8261,42.31,0.913,42.31,-42.31,0.087
2000-05-02,8836.83,8638.75,8838.78,8636.27,8616.18,0.5267,5.86,2.67,6,5,9329.85,52.46,-52.46,0.0,52.46,1.0,7947.65,39.51,0.8333,39.51,0.9167,39.51,-39.51,0.0833
2000-05-03,8537.35,8420.0,8587.0,8395.23,8635.84,0.5308,5.85,2.67,6,5,9093.6,52.29,-52.29,0.0,52.29,1.0,7746.4,39.47,0.84,39.47,0.92,39.47,-39.47,0.08
2000-05-04,8444.07,8425.38,8655.2,8338.92,8559.87,0.5146,5.86,2.68,6,5,9099.41,47.69,-47.69,0.0,47.69,1.0,7751.35,35.68,0.8462,35.68,0.9231,35.68,-35.68,0.0769
2000-05-05,8389.9,8698.53,8699.02,8343.37,8349.91,0.5303,5.85,2.68,6,5,9394.41,53.89,-53.89,0.0,53.89,1.0,8002.65,40.67,0.8519,40.67,0.9259,40.67,-40.67,0.0741
2000-05-06,8699.48,8657.13,8774.25,8620.58,8560.44,0.5149,5.86,2.68,6,5,9349.7,49.08,-49.08,0.0,49.08,1.0,7964.56,36.72,0.8571,36.72,0.9286,36.72,-36.72,0.0714
2000-05-08,8669.47,8616.18,8742.69,8538.5,8465.02,0.4999,5.87,2.68,7,5,9305.47,44.6,-44.6,0.0,44.6,1.0,7926.89,33.07,0.8621,33.07,0.931,33.07,-33.07,0.069
2000-05-09,8607.65,8635.84,8660.77,8566.64,8727.82,0.4848,5.88,2.68,7,5,9326.71,40.56,-40.56,0.0,40.56,1.0,7944.97,29.78,0.8667,29.78,0.9333,29.78,-29.78,0.0667
2000-05-10,8693.87,8559.87,8749.62,8559.87,9085.74,0.4727,5.88,2.69,7,5,9244.66,37.01,-37.01,0.0,37.01,1.0,7875.08,26.95,0.871,26.95,0.9355,26.95,-26.95,0.0645
2000-05-11,8427.34,8349.91,8440.78,8281.68,9087.21,0.4792,5.87,2.69,7,5,9017.9,37.76,31.55,0.0312,-31.55,0.9688,7681.92,27.62,0.875,27.62,0.9375,27.62,-27.62,0.0625
2000-05-12,8472.82,8560.44,8603.87,8454.72,9119.77,0.4853,5.88,2.69,7,5,9245.28,40.34,-40.34,0.0303,40.34,0.9697,7875.6,29.63,0.8788,29.63,0.9394,29.63,-29.63,0.0606
2000-05-15,8639.94,8465.02,8639.94,8461.27,8820.35,0.4748,5.95,2.69,5,5,9142.22,37.14,-37.14,0.0294,37.14,0.9706,7787.82,27.06,0.8824,27.06,0.9412,27.06,-27.06,0.0588
2000-05-16,8534.18,8727.82,8733.46,8496.44,8807.57,0.4915,5.95,2.7,6,5,9426.05,42.83,-42.83,0.0286,42.83,0.9714,8029.59,31.57,0.8857,31.57,0.9429,31.57,-31.57,0.0571
2000-05-17,8885.24,9085.74,9131.86,8885.24,8671.01,0.5276,5.9,2.7,6,5,9812.6,55.44,-55.44,0.0278,55.44,0.9722,8358.88,41.77,0.8889,41.77,0.9444,41.77,-41.77,0.0556
2000-05-18,9040.33,9087.21,9135.13,9002.03,8500.41,0.5115,5.92,2.7,6,5,9814.19,50.51,-50.51,0.027,50.51,0.973,8360.23,37.7,0.8919,37.7,0.9459,37.7,-37.7,0.0541
2000-05-19,9034.41,9119.77,9146.59,9030.57,8438.1,0.4963,5.92,2.7,6,5,9849.35,46.16,-46.16,0.0263,46.16,0.9737,8390.19,34.14,0.8947,34.14,0.9474,34.14,-34.14,0.0526
