date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9109.05,0.421,5.96,2.61,20,15,10544.8,165.08,-165.08,0.0,165.08,1.0,9165.1,133.02,0.0,-166.98,0.0,76.97,-76.97,1.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9120.48,0.4229,5.93,2.61,20,15,10753.96,169.88,-169.88,0.0,169.88,1.0,9346.9,137.09,0.0,-162.91,0.0,-89.33,89.33,1.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,8808.09,0.417,5.9,2.62,19,15,10899.2,167.14,-167.14,0.0,167.14,1.0,9473.14,134.63,0.0,-165.37,0.0,-530.42,530.42,1.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,8921.12,0.4221,5.9,2.62,19,15,10667.13,167.72,-167.72,0.0,167.72,1.0,9271.43,135.41,0.0,-164.59,0.0,-214.9,214.9,1.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,8535.96,0.4101,5.92,2.62,19,15,10615.5,157.29,-157.29,0.0,157.29,1.0,9226.56,126.27,0.0,-173.73,0.0,-564.33,564.33,1.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,8541.95,0.3977,5.89,2.62,19,15,10629.99,147.56,-147.56,0.0,147.56,1.0,9239.15,117.81,0.0,-182.19,0.0,-579.39,579.39,1.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,8824.36,0.4005,5.9,2.63,18,15,10836.4,152.72,-152.72,0.0,152.72,1.0,9418.56,122.08,0.0,-177.92,0.0,-472.12,472.12,1.0
2000-04-11,10104.87,10068.05,10194.91,10059.41,8777.35,0.3897,5.92,2.63,18,15,10772.81,143.21,-143.21,0.0,143.21,1.0,9363.29,113.82,0.0,-186.18,0.0,-472.12,472.12,1.0
2000-04-12,10067.27,9911.39,10149.32,9909.03,8638.75,0.3881,5.89,2.63,20,15,10605.19,139.62,-139.62,0.0,139.62,1.0,9217.59,110.94,0.0,-189.06,0.0,-467.9,467.9,1.0
2000-04-13,9720.67,9662.6,9746.99,9564.72,8420.0,0.4026,5.86,2.63,20,15,10338.98,147.24,-147.24,0.0,147.24,1.0,8986.22,117.93,0.0,-182.07,0.0,-448.29,448.29,1.0
