date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9921.03,0.421,5.96,2.61,7,4,10594.07,33.39,-33.39,0.0,33.39,1.0,9115.83,24.19,1.0,24.19,1.0,24.19,-24.19,0.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9934.57,0.4229,5.93,2.61,7,4,10804.21,34.58,-34.58,0.0,34.58,1.0,9296.65,25.11,1.0,25.11,1.0,25.11,-25.11,0.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,10068.05,0.417,5.9,2.62,6,5,10950.13,33.34,-33.34,0.0,33.34,1.0,9422.21,24.1,1.0,24.1,1.0,24.1,-24.1,0.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9911.39,0.4221,5.9,2.62,6,5,10716.98,34.05,-34.05,0.0,34.05,1.0,9221.58,24.72,1.0,24.72,1.0,24.72,-24.72,0.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9662.6,0.4101,5.92,2.62,6,5,10665.11,30.62,-30.62,0.0,30.62,1.0,9176.95,21.99,1.0,21.99,1.0,21.99,-21.99,0.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9374.61,0.3977,5.89,2.62,6,5,10679.66,27.41,-27.41,0.0,27.41,1.0,9189.48,19.46,1.0,19.46,1.0,19.46,-19.46,0.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,8866.8,0.4005,5.9,2.63,5,5,10887.04,28.68,-28.68,0.0,28.68,1.0,9367.92,20.42,0.8571,-279.58,0.8571,-480.7,480.7,0.1429
2000-04-11,10104.87,10068.05,10194.91,10059.41,8993.68,0.3897,5.92,2.63,6,5,10823.15,25.76,-25.76,0.0,25.76,1.0,9312.95,18.14,0.75,-281.86,0.75,-301.13,301.13,0.25
2000-04-12,10067.27,9911.39,10149.32,9909.03,9307.03,0.3881,5.89,2.63,6,5,10654.74,24.94,-24.94,0.0,24.94,1.0,9168.04,17.54,0.6667,-282.46,0.7778,17.54,-17.54,0.2222
2000-04-13,9720.67,9662.6,9746.99,9564.72,9104.4,0.4026,5.86,2.63,6,5,10387.3,27.88,-27.88,0.0,27.88,1.0,8937.91,19.9,0.6,-280.1,0.8,19.9,-19.9,0.2
2000-04-14,9517.45,9374.61,9662.12,9374.49,9109.05,0.4259,5.86,2.64,6,5,10077.71,33.03,-33.03,0.0,33.03,1.0,8671.51,24.08,0.6364,24.08,0.8182,24.08,-24.08,0.1818
2000-04-15,9086.36,8866.8,9086.36,8780.08,9120.48,0.5187,5.85,2.64,6,5,9531.81,57.92,-57.92,0.0,57.92,1.0,8201.79,44.78,0.6667,44.78,0.8333,44.78,-44.78,0.1667
2000-04-17,8848.16,8993.68,9013.14,8796.77,8808.09,0.5092,5.85,2.64,7,5,9668.21,55.71,-55.71,0.0,55.71,1.0,8319.15,42.87,0.6923,42.87,0.8462,42.87,-42.87,0.1538
2000-04-18,9220.96,9307.03,9389.35,9220.96,8921.12,0.5301,5.84,2.64,7,5,10005.06,64.64,-64.64,0.0,64.64,1.0,8609.0,50.26,0.7143,50.26,0.8571,50.26,-50.26,0.1429
2000-04-19,9435.02,9104.4,9477.67,9104.4,8535.96,0.5287,5.84,2.65,7,5,9787.23,62.77,-62.77,0.0,62.77,1.0,8421.57,48.77,0.7333,48.77,0.8667,48.77,-48.77,0.1333
2000-04-20,9084.86,9109.05,9175.75,8943.89,8541.95,0.5126,5.85,2.65,7,5,9792.23,57.52,-57.52,0.0,57.52,1.0,8425.87,44.34,0.75,44.34,0.875,44.34,-44.34,0.125
2000-04-21,9130.32,9120.48,9243.04,9105.31,8824.36,0.497,5.84,2.65,7,5,9804.52,52.62,-52.62,0.0,52.62,1.0,8436.44,40.24,0.7647,40.24,0.8824,40.24,-40.24,0.1176
2000-04-24,9128.95,8808.09,9128.95,8808.09,8777.35,0.5204,5.81,2.66,5,5,9468.7,58.06,-58.06,0.0,58.06,1.0,8147.48,44.94,0.7778,44.94,0.8889,44.94,-44.94,0.1111
2000-04-25,8711.68,8921.12,8923.27,8672.41,8638.75,0.5096,5.82,2.66,7,5,9590.2,55.37,-55.37,0.0,55.37,1.0,8252.04,42.64,0.7895,42.64,0.8947,42.64,-42.64,0.1053
2000-04-26,8992.62,8535.96,9022.77,8465.76,8420.0,0.5531,5.86,2.66,7,5,9176.16,66.65,-66.65,0.0,66.65,1.0,7895.76,52.34,0.8,52.34,0.9,52.34,-52.34,0.1
2000-04-27,8587.03,8541.95,8633.39,8458.4,8425.38,0.5363,5.84,2.66,7,5,9182.6,61.29,-61.29,0.0,61.29,1.0,7901.3,47.79,0.8095,47.79,0.9048,47.79,-47.79,0.0952
2000-04-28,8595.01,8824.36,8860.5,8478.48,8698.53,0.5513,5.86,2.66,7,5,9486.19,68.29,-68.29,0.0,68.29,1.0,8162.53,53.59,0.8182,53.59,0.9091,53.59,-53.59,0.0909
2000-04-29,8835.17,8777.35,8906.67,8725.38,8657.13,0.5354,5.86,2.67,7,5,9435.65,62.68,-62.68,0.0,62.68,1.0,8119.05,48.85,0.8261,48.85,0.913,48.85,-48.85,0.087
2000-05-02,8836.83,8638.75,8838.78,8636.27,8616.18,0.5267,5.86,2.67,6,5,9286.66,58.95,-58.95,0.0,58.95,1.0,7990.84,45.76,0.8333,45.76,0.9167,45.76,-45.76,0.0833
2000-05-03,8537.35,8420.0,8587.0,8395.23,8635.84,0.5308,5.85,2.67,6,5,9051.5,58.69,-58.69,0.0,58.69,1.0,7788.5,45.65,0.84,45.65,0.92,45.65,-45.65,0.08
2000-05-04,8444.07,8425.38,8655.2,8338.92,8559.87,0.5146,5.86,2.68,6,5,9057.28,53.8,-53.8,0.0,53.8,1.0,7793.48,41.52,0.8462,41.52,0.9231,41.52,-41.52,0.0769
2000-05-05,8389.9,8698.53,8699.02,8343.37,8349.91,0.5303,5.85,2.68,6,5,9350.92,60.49,-60.49,0.0,60.49,1.0,8046.14,47.04,0.8519,47.04,0.9259,47.04,-47.04,0.0741
2000-05-06,8699.48,8657.13,8774.25,8620.58,8560.44,0.5149,5.86,2.68,6,5,9306.41,55.36,-55.36,0.0,55.36,1.0,8007.85,42.74,0.8571,42.74,0.9286,42.74,-42.74,0.0714
2000-05-08,8669.47,8616.18,8742.69,8538.5,8465.02,0.4999,5.87,2.68,7,5,9262.39,50.57,-50.57,0.0,50.57,1.0,7969.97,38.73,0.8621,38.73,0.931,38.73,-38.73,0.069
2000-05-09,8607.65,8635.84,8660.77,8566.64,8727.82,0.4848,5.88,2.68,7,5,9283.53,46.25,-46.25,0.0,46.25,1.0,7988.15,35.12,0.8667,35.12,0.9333,35.12,-35.12,0.0667
2000-05-10,8693.87,8559.87,8749.62,8559.87,9085.74,0.4727,5.88,2.69,7,5,9201.86,42.41,-42.41,0.0,42.41,1.0,7917.88,31.97,0.871,31.97,0.9355,31.97,-31.97,0.0645
2000-05-11,8427.34,8349.91,8440.78,8281.68,9087.21,0.4792,5.87,2.69,7,5,8976.15,43.14,67.92,0.0312,-67.92,0.9688,7723.67,32.66,0.875,32.66,0.9375,32.66,-32.66,0.0625
2000-05-12,8472.82,8560.44,8603.87,8454.72,9119.77,0.4853,5.88,2.69,7,5,9202.47,45.98,-45.98,0.0303,45.98,0.9697,7918.41,34.93,0.8788,34.93,0.9394,34.93,-34.93,0.0606
2000-05-15,8639.94,8465.02,8639.94,8461.27,8820.35,0.4748,5.95,2.69,5,5,9099.9,42.52,-42.52,0.0294,42.52,0.9706,7830.14,32.07,0.8824,32.07,0.9412,32.07,-32.07,0.0588
2000-05-16,8534.18,8727.82,8733.46,8496.44,8807.57,0.4915,5.95,2.7,6,5,9382.41,48.71,-48.71,0.0286,48.71,0.9714,8073.23,37.11,0.8857,37.11,0.9429,37.11,-37.11,0.0571
2000-05-17,8885.24,9085.74,9131.86,8885.24,8671.01,0.5276,5.9,2.7,6,5,9767.17,62.28,-62.28,0.0278,62.28,0.9722,8404.31,48.36,0.8889,48.36,0.9444,48.36,-48.36,0.0556
2000-05-18,9040.33,9087.21,9135.13,9002.03,8500.41,0.5115,5.92,2.7,6,5,9768.75,57.04,-57.04,0.027,57.04,0.973,8405.67,43.94,0.8919,43.94,0.9459,43.94,-43.94,0.0541
2000-05-19,9034.41,9119.77,9146.59,9030.57,8438.1,0.4963,5.92,2.7,6,5,9803.75,52.41,-52.41,0.0263,52.41,0.9737,8435.79,40.05,0.8947,40.05,0.9474,40.05,-40.05,0.0526
2000-05-20,9093.14,8820.35,9167.78,8700.19,8559.46,0.5167,5.92,2.7,6,5,9481.88,56.99,-56.99,0.0256,56.99,0.9744,8158.82,44.01,0.8974,44.01,0.9487,44.01,-44.01,0.0513
2000-05-22,8903.32,8807.57,8967.36,8800.37,8588.25,0.501,5.91,2.7,7,5,9468.14,52.03,-52.03,0.025,52.03,0.975,8147.0,39.87,0.9,39.87,0.95,39.87,-39.87,0.05
2000-05-23,8811.44,8671.01,8820.73,8634.73,8764.42,0.4937,5.91,2.71,7,5,9321.34,49.03,-49.03,0.0244,49.03,0.9756,8020.68,37.42,0.9024,37.42,0.9512,37.42,-37.42,0.0488
2000-05-24,8496.06,8500.41,8623.12,8470.56,8939.52,0.4915,5.91,2.71,7,5,9137.94,47.45,-47.45,0.0238,47.45,0.9762,7862.88,36.17,0.9048,36.17,0.9524,36.17,-36.17,0.0476
2000-05-25,8609.8,8438.1,8643.66,8418.5,8842.63,0.4784,5.92,2.71,7,5,9070.96,43.38,-43.38,0.0233,43.38,0.9767,7805.24,32.81,0.907,32.81,0.9535,32.81,-32.81,0.0465
2000-05-26,8397.01,8559.46,8578.32,8386.37,8883.45,0.4707,5.92,2.71,7,5,9201.42,41.86,-41.86,0.0227,41.86,0.9773,7917.5,31.51,0.9091,31.51,0.9545,31.51,-31.51,0.0455
2000-05-29,8593.62,8588.25,8701.61,8571.35,8935.64,0.4568,5.91,2.72,5,5,9232.37,38.18,-38.18,0.0222,38.18,0.9778,7944.13,28.49,0.9111,28.49,0.9556,28.49,-28.49,0.0444
2000-05-30,8668.7,8764.42,8764.42,8641.43,8958.21,0.4574,5.9,2.72,6,5,9421.75,39.13,-39.13,0.0217,39.13,0.9783,8107.09,29.21,0.913,29.21,0.9565,29.21,-29.21,0.0435
2000-05-31,8951.11,8939.52,8969.65,8879.43,9115.47,0.4573,5.92,2.72,7,5,9609.98,39.88,-39.88,0.0213,39.88,0.9787,8269.06,29.76,0.9149,29.76,0.9574,29.76,-29.76,0.0426
2000-06-01,8936.43,8842.63,8961.54,8815.43,9067.88,0.4476,5.88,2.72,7,5,9505.83,36.79,-36.79,0.0208,36.79,0.9792,8179.43,27.28,0.9167,27.28,0.9583,27.28,-27.28,0.0417
2000-06-02,8979.78,8883.45,9026.86,8880.98,9036.66,0.4347,5.88,2.72,7,5,9549.71,33.54,-33.54,0.0204,33.54,0.9796,8217.19,24.64,0.9184,24.64,0.9592,24.64,-24.64,0.0408
