date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9921.03,0.421,5.96,2.61,7,4,10396.97,61.16,-61.16,0.0,61.16,1.0,9312.93,50.51,1.0,50.51,1.0,50.51,-50.51,0.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9934.57,0.4229,5.93,2.61,7,4,10603.2,63.1,-63.1,0.0,63.1,1.0,9497.66,52.18,1.0,52.18,1.0,52.18,-52.18,0.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,10068.05,0.417,5.9,2.62,6,5,10746.41,61.59,-61.59,0.0,61.59,1.0,9625.93,50.82,1.0,50.82,1.0,50.82,-50.82,0.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9911.39,0.4221,5.9,2.62,6,5,10517.59,62.24,-62.24,0.0,62.24,1.0,9420.97,51.47,1.0,51.47,1.0,51.47,-51.47,0.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9662.6,0.4101,5.92,2.62,6,5,10466.69,57.4,-57.4,0.0,57.4,1.0,9375.37,47.21,1.0,47.21,1.0,47.21,-47.21,0.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9374.61,0.3977,5.89,2.62,6,5,10480.97,52.85,-52.85,0.0,52.85,1.0,9388.17,43.22,0.8333,-256.78,0.8333,29.66,-29.66,0.1667
2000-04-10,9962.65,10127.48,10168.72,9956.65,8866.8,0.4005,5.9,2.63,5,5,10684.49,54.94,-54.94,0.0,54.94,1.0,9570.47,44.99,0.7143,-255.01,0.7143,-658.68,658.68,0.2857
2000-04-11,10104.87,10068.05,10194.91,10059.41,8993.68,0.3897,5.92,2.63,6,5,10621.79,50.63,-50.63,0.0,50.63,1.0,9514.31,41.22,0.625,-258.78,0.625,-479.41,479.41,0.375
2000-04-12,10067.27,9911.39,10149.32,9909.03,9307.03,0.3881,5.89,2.63,6,5,10456.52,49.23,-49.23,0.0,49.23,1.0,9366.26,40.07,0.5556,-259.93,0.5556,-19.16,19.16,0.4444
2000-04-13,9720.67,9662.6,9746.99,9564.72,9104.4,0.4026,5.86,2.63,6,5,10194.04,53.14,-53.14,0.0,53.14,1.0,9131.16,43.58,0.5,-256.42,0.5,16.82,-16.82,0.5
2000-04-14,9517.45,9374.61,9662.12,9374.49,9109.05,0.4259,5.86,2.64,6,5,9890.21,59.92,-59.92,0.0,59.92,1.0,8859.01,49.67,0.5455,49.67,0.5455,49.67,-49.67,0.4545
2000-04-15,9086.36,8866.8,9086.36,8780.08,9120.48,0.5187,5.85,2.64,6,5,9354.47,91.13,-91.13,0.0,91.13,1.0,8379.13,77.89,0.5833,77.89,0.5833,77.89,-77.89,0.4167
