date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9921.03,0.421,5.96,2.61,7,4,10692.62,24.11,-24.11,0.0,24.11,1.0,9017.28,16.03,1.0,16.03,1.0,16.03,-16.03,0.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9934.57,0.4229,5.93,2.61,7,4,10904.72,25.02,-25.02,0.0,25.02,1.0,9196.14,16.68,1.0,16.68,1.0,16.68,-16.68,0.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,10068.05,0.417,5.9,2.62,6,5,11051.99,23.96,-23.96,0.0,23.96,1.0,9320.35,15.87,1.0,15.87,1.0,15.87,-15.87,0.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9911.39,0.4221,5.9,2.62,6,5,10816.67,24.61,-24.61,0.0,24.61,1.0,9121.89,16.4,1.0,16.4,1.0,16.4,-16.4,0.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9662.6,0.4101,5.92,2.62,6,5,10764.32,21.82,-21.82,0.0,21.82,1.0,9077.74,14.34,1.0,14.34,1.0,14.34,-14.34,0.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9374.61,0.3977,5.89,2.62,6,5,10779.01,19.23,-19.23,0.0,19.23,1.0,9090.13,12.44,1.0,12.44,1.0,12.44,-12.44,0.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,8866.8,0.4005,5.9,2.63,5,5,10988.32,20.19,-20.19,0.0,20.19,1.0,9266.64,13.11,0.8571,-286.89,0.8571,-386.73,386.73,0.1429
2000-04-11,10104.87,10068.05,10194.91,10059.41,8993.68,0.3897,5.92,2.63,6,5,10923.83,17.87,-17.87,0.0,17.87,1.0,9212.27,11.43,0.75,-288.57,0.75,-207.16,207.16,0.25
2000-04-12,10067.27,9911.39,10149.32,9909.03,9307.03,0.3881,5.89,2.63,6,5,10753.86,17.26,-17.26,0.0,17.26,1.0,9068.92,11.02,0.6667,-288.98,0.7778,11.02,-11.02,0.2222
2000-04-13,9720.67,9662.6,9746.99,9564.72,9104.4,0.4026,5.86,2.63,6,5,10483.92,19.68,-19.68,0.0,19.68,1.0,8841.28,12.82,0.7,12.82,0.8,12.82,-12.82,0.2
2000-04-14,9517.45,9374.61,9662.12,9374.49,9109.05,0.4259,5.86,2.64,6,5,10171.45,23.98,-23.98,0.0,23.98,1.0,8577.77,16.07,0.7273,16.07,0.8182,16.07,-16.07,0.1818
2000-04-15,9086.36,8866.8,9086.36,8780.08,9120.48,0.5187,5.85,2.64,6,5,9620.48,45.52,-45.52,0.0,45.52,1.0,8113.12,33.0,0.75,33.0,0.8333,33.0,-33.0,0.1667
