date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9374.61,0.421,5.96,2.61,14,10,10002.77,268.68,-268.68,0.0,268.68,1.0,9707.13,252.59,0.0,-47.41,0.0,-79.93,79.93,1.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,8866.8,0.4229,5.93,2.61,14,10,10201.19,275.47,-275.47,0.0,275.47,1.0,9899.67,259.14,0.0,-40.86,0.0,-773.73,773.73,1.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,8993.68,0.417,5.9,2.62,12,10,10338.96,274.32,-274.32,0.0,274.32,1.0,10033.38,258.01,0.0,-41.99,0.0,-781.69,781.69,1.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9307.03,0.4221,5.9,2.62,12,10,10118.82,272.48,-272.48,0.0,272.48,1.0,9819.74,256.45,0.0,-43.55,0.0,-256.26,256.26,1.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9104.4,0.4101,5.92,2.62,12,10,10069.85,261.85,-261.85,0.0,261.85,1.0,9772.21,246.03,0.0,-53.97,0.0,-421.78,421.78,1.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9109.05,0.3977,5.89,2.62,12,10,10083.59,252.45,-252.45,0.0,252.45,1.0,9785.55,236.91,0.0,-63.09,0.0,-439.59,439.59,1.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,9120.48,0.4005,5.9,2.63,11,10,10279.39,259.62,-259.62,0.0,259.62,1.0,9975.57,243.7,0.0,-56.3,0.0,-611.39,611.39,1.0
2000-04-11,10104.87,10068.05,10194.91,10059.41,8808.09,0.3897,5.92,2.63,13,10,10219.07,249.57,-249.57,0.0,249.57,1.0,9917.03,233.88,0.0,-66.12,0.0,-875.06,875.06,1.0
2000-04-12,10067.27,9911.39,10149.32,9909.03,8921.12,0.3881,5.89,2.63,13,10,10060.06,244.33,-244.33,0.0,244.33,1.0,9762.72,229.01,0.0,-70.99,0.0,-612.59,612.59,1.0
2000-04-13,9720.67,9662.6,9746.99,9564.72,8535.96,0.4026,5.86,2.63,13,10,9807.54,249.2,-249.2,0.0,249.2,1.0,9517.66,234.11,0.0,-65.89,0.0,-747.59,747.59,1.0
2000-04-14,9517.45,9374.61,9662.12,9374.49,8541.95,0.4259,5.86,2.64,13,10,9515.23,259.0,-259.0,0.0,259.0,1.0,9233.99,244.04,0.0,-55.96,0.0,-448.0,448.0,1.0
2000-04-15,9086.36,8866.8,9086.36,8780.08,8824.36,0.5187,5.85,2.64,13,10,8999.8,309.92,-309.92,0.0,309.92,1.0,8733.8,294.52,0.0,-5.48,0.0833,294.52,-294.52,0.9167
2000-04-17,8848.16,8993.68,9013.14,8796.77,8777.35,0.5092,5.85,2.64,12,10,9128.59,307.6,-307.6,0.0,307.6,1.0,8858.77,292.13,0.0,-7.87,0.0769,210.71,-210.71,0.9231
2000-04-18,9220.96,9307.03,9389.35,9220.96,8638.75,0.5301,5.84,2.64,14,10,9446.64,333.67,-333.67,0.0,333.67,1.0,9167.42,317.41,0.0,17.41,0.0714,-211.26,211.26,0.9286
2000-04-19,9435.02,9104.4,9477.67,9104.4,8420.0,0.5287,5.84,2.65,14,10,9240.97,325.41,-325.41,0.0,325.41,1.0,8967.83,309.51,0.0,9.51,0.0667,-238.32,238.32,0.9333
2000-04-20,9084.86,9109.05,9175.75,8943.89,8425.38,0.5126,5.85,2.65,14,10,9245.69,313.97,-313.97,0.0,313.97,1.0,8972.41,298.27,0.0,-1.73,0.0625,-248.76,248.76,0.9375
2000-04-21,9130.32,9120.48,9243.04,9105.31,8698.53,0.497,5.84,2.65,14,10,9257.29,303.12,-303.12,0.0,303.12,1.0,8983.67,287.65,0.0,-12.35,0.0588,2.51,-2.51,0.9412
2000-04-24,9128.95,8808.09,9128.95,8808.09,8657.13,0.5204,5.81,2.66,12,10,8940.21,308.95,-308.95,0.0,308.95,1.0,8675.97,293.81,0.0,-6.19,0.0556,274.97,-274.97,0.9444
2000-04-25,8711.68,8921.12,8923.27,8672.41,8616.18,0.5096,5.82,2.66,13,10,9054.94,305.32,-305.32,0.0,305.32,1.0,8787.3,290.12,0.0,-9.88,0.0526,119.0,-119.0,0.9474
2000-04-26,8992.62,8535.96,9022.77,8465.76,8635.84,0.5531,5.86,2.66,13,10,8664.0,321.61,-321.61,0.0,321.61,1.0,8407.92,306.41,0.05,306.41,0.1,306.41,-306.41,0.9
2000-04-27,8587.03,8541.95,8633.39,8458.4,8559.87,0.5363,5.84,2.66,13,10,8670.08,310.42,-310.42,0.0,310.42,1.0,8413.82,295.48,0.0952,295.48,0.1429,295.48,-295.48,0.8571
