date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9921.03,0.421,5.96,2.61,7,4,10840.45,14.37,-14.37,0.0,14.37,1.0,8869.46,8.15,1.0,8.15,1.0,8.15,-8.15,0.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,9934.57,0.4229,5.93,2.61,7,4,11055.47,14.97,-14.97,0.0,14.97,1.0,9045.39,8.52,1.0,8.52,1.0,8.52,-8.52,0.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,10068.05,0.417,5.9,2.62,6,5,11204.79,14.17,-14.17,0.0,14.17,1.0,9167.55,7.99,1.0,7.99,1.0,7.99,-7.99,0.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9911.39,0.4221,5.9,2.62,6,5,10966.21,14.7,-14.7,0.0,14.7,1.0,8972.35,8.36,1.0,8.36,1.0,8.36,-8.36,0.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9662.6,0.4101,5.92,2.62,6,5,10913.13,12.73,-12.73,0.0,12.73,1.0,8928.93,7.09,1.0,7.09,1.0,7.09,-7.09,0.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9374.61,0.3977,5.89,2.62,6,5,10928.03,10.93,-10.93,0.0,10.93,1.0,8941.11,5.95,1.0,5.95,1.0,5.95,-5.95,0.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,8866.8,0.4005,5.9,2.63,5,5,11140.23,11.55,-11.55,0.0,11.55,1.0,9114.73,6.32,0.8571,-293.68,0.8571,-241.61,241.61,0.1429
2000-04-11,10104.87,10068.05,10194.91,10059.41,8993.68,0.3897,5.92,2.63,6,5,11074.86,9.98,-9.98,0.0,9.98,1.0,9061.24,5.34,0.75,-294.66,0.75,-62.22,62.22,0.25
2000-04-12,10067.27,9911.39,10149.32,9909.03,9307.03,0.3881,5.89,2.63,6,5,10902.53,9.6,-9.6,0.0,9.6,1.0,8920.25,5.12,0.6667,-294.88,0.7778,5.12,-5.12,0.2222
2000-04-13,9720.67,9662.6,9746.99,9564.72,9104.4,0.4026,5.86,2.63,6,5,10628.86,11.31,-11.31,0.0,11.31,1.0,8696.34,6.21,0.7,6.21,0.8,6.21,-6.21,0.2
