date,open,close,high,low,final,sigma,bond_yield%,cash_yield%,duration,trading_days,call_strike,call_price,bc_earn,bc_win%,sc_earn,sc_win%,put_strike,put_price,sp_SL_win%,sp_earn_SL,sp_final_win%,sp_earn_final,bp_earn,bp_win%
2000-03-31,9890.89,9854.95,10011.96,9798.61,9374.61,0.421,5.96,2.61,14,10,10298.42,164.45,-164.45,0.0,164.45,1.0,9411.48,143.88,0.0,-156.12,0.0,107.01,-107.01,1.0
2000-04-01,9892.78,10050.43,10050.43,9816.22,8866.8,0.4229,5.93,2.61,14,10,10502.7,169.04,-169.04,0.0,169.04,1.0,9598.16,148.04,0.0,-151.96,0.0,-583.32,583.32,1.0
2000-04-05,9923.74,10186.17,10238.11,9923.74,8993.68,0.417,5.9,2.62,12,10,10644.55,166.94,-166.94,0.0,166.94,1.0,9727.79,146.07,0.0,-153.93,0.0,-588.04,588.04,1.0
2000-04-06,10225.77,9969.28,10328.98,9969.28,9307.03,0.4221,5.9,2.62,12,10,10417.9,167.0,-167.0,0.0,167.0,1.0,9520.66,146.32,0.0,-153.68,0.0,-67.31,67.31,1.0
2000-04-07,10035.26,9921.03,10128.26,9913.38,9104.4,0.4101,5.92,2.62,12,10,10367.48,157.8,-157.8,0.0,157.8,1.0,9474.58,137.79,0.0,-162.21,0.0,-232.39,232.39,1.0
2000-04-08,10009.75,9934.57,10061.03,9894.26,9109.05,0.3977,5.89,2.62,12,10,10381.63,149.3,-149.3,0.0,149.3,1.0,9487.51,129.97,0.0,-170.03,0.0,-248.49,248.49,1.0
2000-04-10,9962.65,10127.48,10168.72,9956.65,9120.48,0.4005,5.9,2.63,11,10,10583.22,154.22,-154.22,0.0,154.22,1.0,9671.74,134.34,0.0,-165.66,0.0,-416.92,416.92,1.0
2000-04-11,10104.87,10068.05,10194.91,10059.41,8808.09,0.3897,5.92,2.63,13,10,10521.11,145.73,-145.73,0.0,145.73,1.0,9614.99,126.52,0.0,-173.48,0.0,-680.38,680.38,1.0
2000-04-12,10067.27,9911.39,10149.32,9909.03,8921.12,0.3881,5.89,2.63,13,10,10357.4,142.27,-142.27,0.0,142.27,1.0,9465.38,123.51,0.0,-176.49,0.0,-420.75,420.75,1.0
2000-04-13,9720.67,9662.6,9746.99,9564.72,8535.96,0.4026,5.86,2.63,13,10,10097.42,148.49,-148.49,0.0,148.49,1.0,9227.78,129.52,0.0,-170.48,0.0,-562.3,562.3,1.0
2000-04-14,9517.45,9374.61,9662.12,9374.49,8541.95,0.4259,5.86,2.64,13,10,9796.47,159.56,-159.56,0.0,159.56,1.0,8952.75,140.05,0.0,-159.95,0.0,-270.75,270.75,1.0
2000-04-15,9086.36,8866.8,9086.36,8780.08,8824.36,0.5187,5.85,2.64,13,10,9265.81,210.93,-210.93,0.0,210.93,1.0,8467.79,188.52,0.0833,188.52,0.0833,188.52,-188.52,0.9167
2000-04-17,8848.16,8993.68,9013.14,8796.77,8777.35,0.5092,5.85,2.64,12,10,9398.4,207.62,-207.62,0.0,207.62,1.0,8588.96,185.3,0.0769,-114.7,0.1538,185.3,-185.3,0.8462
2000-04-18,9220.96,9307.03,9389.35,9220.96,8638.75,0.5301,5.84,2.64,14,10,9725.85,229.28,-229.28,0.0,229.28,1.0,8888.21,205.32,0.0714,-94.68,0.1429,-44.14,44.14,0.8571
2000-04-19,9435.02,9104.4,9477.67,9104.4,8420.0,0.5287,5.84,2.65,14,10,9514.1,223.35,-223.35,0.0,223.35,1.0,8694.7,199.96,0.0667,-100.04,0.1333,-74.74,74.74,0.8667
2000-04-20,9084.86,9109.05,9175.75,8943.89,8425.38,0.5126,5.85,2.65,14,10,9518.96,212.56,-212.56,0.0,212.56,1.0,8699.14,189.82,0.0625,-110.18,0.125,-83.94,83.94,0.875
2000-04-21,9130.32,9120.48,9243.04,9105.31,8698.53,0.497,5.84,2.65,14,10,9530.9,202.31,-202.31,0.0,202.31,1.0,8710.06,180.24,0.0588,-119.76,0.1176,168.71,-168.71,0.8824
2000-04-24,9128.95,8808.09,9128.95,8808.09,8657.13,0.5204,5.81,2.66,12,10,9204.45,210.57,-210.57,0.0,210.57,1.0,8411.73,188.37,0.1111,188.37,0.1667,188.37,-188.37,0.8333
2000-04-25,8711.68,8921.12,8923.27,8672.41,8616.18,0.5096,5.82,2.66,13,10,9322.57,206.15,-206.15,0.0,206.15,1.0,8519.67,184.11,0.1053,-115.89,0.2105,184.11,-184.11,0.7895
2000-04-26,8992.62,8535.96,9022.77,8465.76,8635.84,0.5531,5.86,2.66,13,10,8920.08,225.02,-225.02,0.0,225.02,1.0,8151.84,202.15,0.15,202.15,0.25,202.15,-202.15,0.75
2000-04-27,8587.03,8541.95,8633.39,8458.4,8559.87,0.5363,5.84,2.66,13,10,8926.34,214.38,-214.38,0.0,214.38,1.0,8157.56,192.19,0.1905,192.19,0.2857,192.19,-192.19,0.7143
2000-04-28,8595.01,8824.36,8860.5,8478.48,8349.91,0.5513,5.86,2.66,13,10,9221.46,231.42,-231.42,0.0,231.42,1.0,8427.26,207.85,0.1818,-92.15,0.2727,130.5,-130.5,0.7273
2000-04-29,8835.17,8777.35,8906.67,8725.38,8560.44,0.5354,5.86,2.67,13,10,9172.33,219.7,-219.7,0.0,219.7,1.0,8382.37,196.89,0.1739,-103.11,0.3043,196.89,-196.89,0.6957
2000-05-02,8836.83,8638.75,8838.78,8636.27,8465.02,0.5267,5.86,2.67,13,10,9027.49,210.68,-210.68,0.0,210.68,1.0,8250.01,188.57,0.2083,188.57,0.3333,188.57,-188.57,0.6667
